timestamp,plant_id,plant_name,process,load_kw,flexible_share,price_eur_mwh,carbon_g_kwh,temperature_c,production_index
2026-01-05 00:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3927.074,0.22,64.261,374.663,6.911,0.38
2026-01-05 00:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,3823.083,0.22,58.814,366.473,6.628,0.38
2026-01-05 00:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3995.225,0.22,65.913,380.776,5.406,0.38
2026-01-05 00:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3798.51,0.22,66.619,378.912,5.72,0.38
2026-01-05 01:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3990.122,0.22,55.008,372.77,6.833,0.38
2026-01-05 01:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,4124.733,0.22,57.573,362.518,4.963,0.38
2026-01-05 01:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,4166.506,0.22,63.279,372.964,4.167,0.38
2026-01-05 01:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,4034.453,0.22,61.508,369.979,4.205,0.38
2026-01-05 02:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3754.0,0.22,62.735,354.232,4.065,0.38
2026-01-05 02:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,3946.597,0.22,59.448,351.994,3.567,0.38
2026-01-05 02:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,4176.348,0.22,66.469,375.866,3.325,0.38
2026-01-05 02:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3798.048,0.22,66.191,337.297,2.014,0.38
2026-01-05 03:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3872.628,0.22,63.515,370.428,2.032,0.38
2026-01-05 03:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,4024.654,0.22,67.977,361.678,2.288,0.38
2026-01-05 03:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3900.335,0.22,65.606,382.575,1.971,0.38
2026-01-05 03:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,4121.18,0.22,60.62,360.425,1.392,0.38
2026-01-05 04:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3681.77,0.22,65.907,373.741,1.376,0.38
2026-01-05 04:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,3622.606,0.22,61.027,360.556,1.265,0.38
2026-01-05 04:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3869.908,0.22,68.858,366.187,1.579,0.38
2026-01-05 04:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3558.811,0.22,65.674,373.179,0.634,0.38
2026-01-05 05:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3661.051,0.22,65.706,358.315,0.744,0.38
2026-01-05 05:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,3679.615,0.22,64.326,375.365,-0.138,0.38
2026-01-05 05:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3790.591,0.22,72.564,351.037,0.434,0.38
2026-01-05 05:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3732.835,0.22,67.689,366.066,0.106,0.38
2026-01-05 06:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5371.087,0.22,67.219,373.186,0.276,0.98
2026-01-05 06:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5262.627,0.22,66.229,358.189,0.015,0.98
2026-01-05 06:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5475.581,0.22,68.439,361.485,-0.207,0.98
2026-01-05 06:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5856.168,0.22,66.403,317.659,-0.804,0.98
2026-01-05 07:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5441.764,0.22,65.175,298.766,-0.658,0.98
2026-01-05 07:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5374.654,0.22,63.774,292.09,-0.159,0.98
2026-01-05 07:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5252.496,0.22,69.084,300.913,-1.414,0.98
2026-01-05 07:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5368.104,0.22,57.297,288.232,-1.429,0.98
2026-01-05 08:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5444.3,0.22,55.219,273.104,-0.873,0.98
2026-01-05 08:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5438.469,0.22,52.304,248.414,-0.699,0.98
2026-01-05 08:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5566.854,0.22,56.27,261.54,-1.534,0.98
2026-01-05 08:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5826.048,0.22,56.535,228.565,-0.956,0.98
2026-01-05 09:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5802.41,0.22,49.758,248.606,-0.895,0.98
2026-01-05 09:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5702.272,0.22,45.049,260.975,-2.285,0.98
2026-01-05 09:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5577.274,0.22,43.328,223.654,-0.773,0.98
2026-01-05 09:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5941.069,0.22,47.487,219.441,-0.594,0.98
2026-01-05 10:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5801.686,0.22,46.18,200.361,-0.442,0.98
2026-01-05 10:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5594.913,0.22,43.787,179.056,0.834,0.98
2026-01-05 10:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5979.164,0.22,37.466,188.746,-0.818,0.98
2026-01-05 10:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,6036.434,0.22,39.696,178.784,-0.336,0.98
2026-01-05 11:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5644.55,0.22,38.016,171.195,-1.364,0.98
2026-01-05 11:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5824.884,0.22,37.363,206.646,0.367,0.98
2026-01-05 11:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5919.935,0.22,39.085,187.449,0.679,0.98
2026-01-05 11:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,6028.284,0.22,35.786,187.722,0.865,0.98
2026-01-05 12:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5833.578,0.22,37.089,179.261,2.275,0.98
2026-01-05 12:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5782.509,0.22,34.325,181.53,2.391,0.98
2026-01-05 12:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5973.026,0.22,35.097,196.666,2.141,0.98
2026-01-05 12:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5800.444,0.22,36.563,187.065,2.133,0.98
2026-01-05 13:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5872.311,0.22,28.524,197.085,3.424,0.98
2026-01-05 13:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5640.326,0.22,33.613,192.561,3.011,0.98
2026-01-05 13:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5579.739,0.22,33.782,195.967,2.775,0.98
2026-01-05 13:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5816.432,0.22,34.12,189.352,2.472,0.98
2026-01-05 14:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5379.357,0.22,36.838,189.701,3.691,0.88
2026-01-05 14:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5394.956,0.22,45.44,218.566,4.855,0.88
2026-01-05 14:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5133.061,0.22,37.785,231.755,6.246,0.88
2026-01-05 14:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5085.819,0.22,47.183,226.136,5.019,0.88
2026-01-05 15:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5324.336,0.22,38.913,252.771,4.758,0.88
2026-01-05 15:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,4915.115,0.22,46.91,266.548,4.778,0.88
2026-01-05 15:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5193.58,0.22,51.763,253.807,6.3,0.88
2026-01-05 15:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5198.54,0.22,56.558,283.451,4.976,0.88
2026-01-05 16:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5062.27,0.22,60.364,314.937,6.885,0.88
2026-01-05 16:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,4826.51,0.22,64.165,331.021,7.35,0.88
2026-01-05 16:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,4787.941,0.22,63.181,329.381,7.349,0.88
2026-01-05 16:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,4853.547,0.22,66.363,362.276,7.143,0.88
2026-01-05 17:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,4685.483,0.22,75.264,389.848,7.931,0.88
2026-01-05 17:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,4724.493,0.22,74.599,403.905,7.879,0.88
2026-01-05 17:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,4941.702,0.22,73.633,409.973,7.422,0.88
2026-01-05 17:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,4901.125,0.22,77.346,421.323,9.453,0.88
2026-01-05 18:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,4730.915,0.22,81.055,434.273,8.084,0.88
2026-01-05 18:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,4947.564,0.22,87.342,449.761,9.027,0.88
2026-01-05 18:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,4994.29,0.22,86.18,447.607,6.926,0.88
2026-01-05 18:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5093.433,0.22,88.257,452.703,9.628,0.88
2026-01-05 19:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5001.596,0.22,83.309,445.412,9.858,0.88
2026-01-05 19:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5123.542,0.22,84.836,451.213,8.925,0.88
2026-01-05 19:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5079.163,0.22,85.591,439.092,9.348,0.88
2026-01-05 19:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5184.402,0.22,80.491,443.127,9.38,0.88
2026-01-05 20:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,4958.279,0.22,82.009,439.298,8.55,0.88
2026-01-05 20:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5130.363,0.22,75.865,413.925,9.372,0.88
2026-01-05 20:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5207.048,0.22,75.332,396.419,8.391,0.88
2026-01-05 20:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5219.932,0.22,73.53,431.181,8.478,0.88
2026-01-05 21:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5318.948,0.22,68.598,410.461,9.618,0.88
2026-01-05 21:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5383.652,0.22,73.751,381.853,9.417,0.88
2026-01-05 21:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5415.501,0.22,68.476,389.341,8.125,0.88
2026-01-05 21:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5373.827,0.22,69.106,403.157,7.971,0.88
2026-01-05 22:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3768.652,0.22,69.846,387.074,7.878,0.38
2026-01-05 22:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,3995.094,0.22,68.743,381.379,8.67,0.38
2026-01-05 22:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3941.087,0.22,68.814,401.97,7.267,0.38
2026-01-05 22:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3752.128,0.22,65.107,370.735,8.009,0.38
2026-01-05 23:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3855.071,0.22,63.293,372.326,8.058,0.38
2026-01-05 23:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,3671.867,0.22,64.274,383.446,7.235,0.38
2026-01-05 23:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3876.643,0.22,57.554,384.944,7.751,0.38
2026-01-05 23:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3861.646,0.22,58.312,385.85,6.565,0.38
2026-01-06 00:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3801.427,0.22,58.172,388.874,6.35,0.38
2026-01-06 00:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,4075.639,0.22,59.575,380.915,5.527,0.38
2026-01-06 00:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3676.04,0.22,65.271,384.994,6.625,0.38
2026-01-06 00:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3924.537,0.22,60.165,376.594,5.071,0.38
2026-01-06 01:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,4073.787,0.22,62.398,381.036,5.539,0.38
2026-01-06 01:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,3917.421,0.22,69.244,382.146,4.926,0.38
2026-01-06 01:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3769.871,0.22,62.773,384.002,3.916,0.38
2026-01-06 01:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3599.086,0.22,67.317,391.248,3.901,0.38
2026-01-06 02:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3514.291,0.22,60.824,389.189,4.968,0.38
2026-01-06 02:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,3634.141,0.22,63.954,383.598,3.814,0.38
2026-01-06 02:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3599.813,0.22,61.224,373.888,2.641,0.38
2026-01-06 02:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3556.19,0.22,63.952,384.93,3.238,0.38
2026-01-06 03:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3599.158,0.22,68.992,384.291,2.604,0.38
2026-01-06 03:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,3555.552,0.22,59.089,387.444,4.811,0.38
2026-01-06 03:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3675.42,0.22,68.15,412.09,2.286,0.38
2026-01-06 03:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3462.357,0.22,67.828,379.8,1.522,0.38
2026-01-06 04:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3502.29,0.22,65.016,391.613,2.494,0.38
2026-01-06 04:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,3627.095,0.22,62.174,399.814,-0.067,0.38
2026-01-06 04:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3597.485,0.22,68.862,388.6,1.022,0.38
2026-01-06 04:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3836.13,0.22,67.114,415.896,2.099,0.38
2026-01-06 05:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,3682.446,0.22,70.859,383.708,0.383,0.38
2026-01-06 05:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,3493.33,0.22,70.74,392.52,-0.973,0.38
2026-01-06 05:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,3752.343,0.22,77.801,379.415,-0.244,0.38
2026-01-06 05:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,3762.932,0.22,71.181,385.136,0.861,0.38
2026-01-06 06:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5437.578,0.22,68.778,392.678,-0.067,0.98
2026-01-06 06:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5362.323,0.22,72.397,388.72,-1.072,0.98
2026-01-06 06:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5784.154,0.22,71.33,371.298,-1.099,0.98
2026-01-06 06:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5468.621,0.22,74.612,371.563,-1.126,0.98
2026-01-06 07:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5721.619,0.22,71.186,344.426,-0.577,0.98
2026-01-06 07:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5694.007,0.22,67.882,330.867,0.033,0.98
2026-01-06 07:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5796.244,0.22,70.852,356.809,-0.221,0.98
2026-01-06 07:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5991.494,0.22,58.722,318.869,-0.67,0.98
2026-01-06 08:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5916.702,0.22,59.33,295.592,-1.932,0.98
2026-01-06 08:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5811.14,0.22,56.536,286.337,-1.919,0.98
2026-01-06 08:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,6024.837,0.22,56.985,274.196,-0.584,0.98
2026-01-06 08:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5862.345,0.22,51.301,288.022,-1.846,0.98
2026-01-06 09:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,5966.399,0.22,57.588,264.159,-0.988,0.98
2026-01-06 09:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5786.983,0.22,52.393,262.319,-0.522,0.98
2026-01-06 09:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5852.844,0.22,45.648,252.831,-1.416,0.98
2026-01-06 09:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5990.842,0.22,45.755,255.748,-1.201,0.98
2026-01-06 10:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,6010.209,0.22,49.415,230.79,-0.396,0.98
2026-01-06 10:15:00,DE-CENTRAL,Central Plant,Paint & Utilities,5723.852,0.22,49.936,222.655,0.195,0.98
2026-01-06 10:30:00,DE-CENTRAL,Central Plant,Paint & Utilities,5975.851,0.22,53.094,233.521,0.776,0.98
2026-01-06 10:45:00,DE-CENTRAL,Central Plant,Paint & Utilities,5790.075,0.22,55.405,233.986,0.666,0.98
2026-01-06 11:00:00,DE-CENTRAL,Central Plant,Paint & Utilities,6035.14,0.22,44.187,227.408,0.516,0.98
