plant,scenario,energy_mwh,annual_cost_eur,carbon_kg,peak_kw,flex_shifted_mwh,baseline_annual_cost_eur,baseline_carbon_kg,baseline_peak_kw,cost_savings_eur,cost_savings_pct,carbon_reduction_pct,peak_reduction_pct
Central Plant,Baseline,2283.374327,3167926.943495,753826.779476,6343.033,0.0,3167926.943495,753826.779476,6343.033,0.0,0.0,0.0,0.0
North Plant,Baseline,1841.78762,2549902.135976,608480.296265,5062.348,0.0,2549902.135976,608480.296265,5062.348,0.0,0.0,0.0,0.0
South Plant,Baseline,1583.620132,2189835.994129,523272.489331,4329.316,0.0,2189835.994129,523272.489331,4329.316,0.0,0.0,0.0,0.0
Central Plant,Cost First,2283.374327,3115134.39637,744998.780711,6212.556811,85.214164,3167926.943495,753826.779476,6343.033,52792.547125,0.016665,0.011711,0.02057
North Plant,Cost First,1841.78762,2516875.715951,602542.26804,4986.615274,52.055548,2549902.135976,608480.296265,5062.348,33026.420025,0.012952,0.009759,0.01496
South Plant,Cost First,1583.620132,2156632.107656,517391.92704,4252.405701,52.482035,2189835.994129,523272.489331,4329.316,33203.886474,0.015163,0.011238,0.017765
Central Plant,Carbon First,2283.374327,3115121.179253,742794.83332,6212.556811,77.26404,3167926.943495,753826.779476,6343.033,52805.764242,0.016669,0.014635,0.02057
North Plant,Carbon First,1841.78762,2516098.080566,600951.377611,4986.615274,49.006762,2549902.135976,608480.296265,5062.348,33804.05541,0.013257,0.012373,0.01496
South Plant,Carbon First,1583.620131,2156255.554832,515905.901256,4252.405701,48.779614,2189835.994129,523272.489331,4329.316,33580.439297,0.015335,0.014078,0.017765
Central Plant,Balanced,2283.374327,3112483.630416,744979.006195,6176.942924,84.264757,3167926.943495,753826.779476,6343.033,55443.313079,0.017501,0.011737,0.026185
North Plant,Balanced,1841.787619,2515332.260483,602486.861692,4966.479514,51.597632,2549902.135976,608480.296265,5062.348,34569.875493,0.013557,0.00985,0.018938
South Plant,Balanced,1583.620131,2155230.926282,517350.713857,4233.178127,51.946152,2189835.994129,523272.489331,4329.316,34605.067847,0.015803,0.011317,0.022206
